0001;testament;FRAD78_Poilus_t-0001_01
0002;testament;FRAD78_Poilus_t-0002_01
0002;testament;FRAD78_Poilus_t-0002_02
0003;testament;FRAD78_Poilus_t-0003_01
0003;testament;FRAD78_Poilus_t-0003_02
0003;enveloppe;FRAD78_Poilus_t-0003_03
0003;enveloppe;FRAD78_Poilus_t-0003_04
0004;testament;FRAD78_Poilus_t-0004_01
0004;testament;FRAD78_Poilus_t-0004_02
0005;enveloppe;FRAD78_Poilus_t-0005_01
0005;enveloppe;FRAD78_Poilus_t-0005_02
0005;testament;FRAD78_Poilus_t-0005_03
0005;testament;FRAD78_Poilus_t-0005_04
0006;testament;FRAD78_Poilus_t-0006_01
0006;testament;FRAD78_Poilus_t-0006_02
0007;testament;FRAD78_Poilus_t-0007_01
0008;testament;FRAD78_Poilus_t-0008_01
0009;testament;FRAD78_Poilus_t-0009_01
0009;enveloppe;FRAD78_Poilus_t-0009_02
0009;testament;FRAD78_Poilus_t-0009_03
0009;enveloppe;FRAD78_Poilus_t-0009_04
0010;testament;FRAD78_Poilus_t-0010_01
0010;testament;FRAD78_Poilus_t-0010_02
0011;testament;FRAD78_Poilus_t-0011_01
0011;testament;FRAD78_Poilus_t-0011_02
0012;testament;FRAD78_Poilus_t-0012_01
0012;testament;FRAD78_Poilus_t-0012_02
0013;enveloppe;FRAD78_Poilus_t-0013_01
0013;enveloppe;FRAD78_Poilus_t-0013_02
0013;testament;FRAD78_Poilus_t-0013_03
0013;testament;FRAD78_Poilus_t-0013_04
0014;testament;FRAD78_Poilus_t-0014_01
0014;testament;FRAD78_Poilus_t-0014_02
0015;testament;FRAD78_Poilus_t-0015_01
0016;testament;FRAD78_Poilus_t-0016_01
0016;testament;FRAD78_Poilus_t-0016_02
0017;testament;FRAD78_Poilus_t-0017_01
0018;testament;FRAD78_Poilus_t-0018_01
0018;testament;FRAD78_Poilus_t-0018_02
0019;testament;FRAD78_Poilus_t-0019_01
0019;testament;FRAD78_Poilus_t-0019_02
0020;testament;FRAD78_Poilus_t-0020_01
0020;codicille;FRAD78_Poilus_t-0020_02
0021;testament;FRAD78_Poilus_t-0021_01
0021;testament;FRAD78_Poilus_t-0021_02
0022;testament;FRAD78_Poilus_t-0022_01
0022;testament;FRAD78_Poilus_t-0022_02
0023;testament;FRAD78_Poilus_t-0023_01
0023;testament;FRAD78_Poilus_t-0023_02
0024;testament;FRAD78_Poilus_t-0024_01
0024;testament;FRAD78_Poilus_t-0024_02
0025;testament;FRAD78_Poilus_t-0025_01
0025;testament;FRAD78_Poilus_t-0025_02
0026;testament;FRAD78_Poilus_t-0026_01
0027;testament;FRAD78_Poilus_t-0027_01
0027;testament;FRAD78_Poilus_t-0027_02
0028;testament;FRAD78_Poilus_t-0028_01
0028;testament;FRAD78_Poilus_t-0028_02
0029;testament;FRAD78_Poilus_t-0029_01
0029;testament;FRAD78_Poilus_t-0029_02
0030;testament;FRAD78_Poilus_t-0030_01
0030;testament;FRAD78_Poilus_t-0030_02
0031;testament;FRAD78_Poilus_t-0031_01
0031;testament;FRAD78_Poilus_t-0031_02
0031;enveloppe;FRAD78_Poilus_t-0031_03
0031;enveloppe;FRAD78_Poilus_t-0031_04
0032;testament;FRAD78_Poilus_t-0032_01
0032;testament;FRAD78_Poilus_t-0032_02
0032;testament;FRAD78_Poilus_t-0032_03
0033;testament;FRAD78_Poilus_t-0033_01
0033;testament;FRAD78_Poilus_t-0033_02
0034;enveloppe;FRAD78_Poilus_t-0034_01
0034;testament;FRAD78_Poilus_t-0034_02
0034;testament;FRAD78_Poilus_t-0034_03
0035;testament;FRAD78_Poilus_t-0035_01
0036;testament;FRAD78_Poilus_t-0036_01
0036;testament;FRAD78_Poilus_t-0036_02
0037;testament;FRAD78_Poilus_t-0037_01
0037;testament;FRAD78_Poilus_t-0037_02
0038;testament;FRAD78_Poilus_t-0038_01
0038;testament;FRAD78_Poilus_t-0038_02
0038;testament;FRAD78_Poilus_t-0038_03
0039;testament;FRAD78_Poilus_t-0039_01
0040;enveloppe;FRAD78_Poilus_t-0040_01
0040;enveloppe;FRAD78_Poilus_t-0040_02
0040;testament;FRAD78_Poilus_t-0040_03
0040;enveloppe;FRAD78_Poilus_t-0040_04
0040;enveloppe;FRAD78_Poilus_t-0040_05
0040;testament;FRAD78_Poilus_t-0040_06
0041;testament;FRAD78_Poilus_t-0041_01
0041;testament;FRAD78_Poilus_t-0041_02
0042;enveloppe;FRAD78_Poilus_t-0042_01
0042;testament;FRAD78_Poilus_t-0042_02
0042;testament;FRAD78_Poilus_t-0042_03
0043;enveloppe;FRAD78_Poilus_t-0043_01
0043;enveloppe;FRAD78_Poilus_t-0043_02
0043;testament;FRAD78_Poilus_t-0043_03
0043;testament;FRAD78_Poilus_t-0043_04
0044;enveloppe;FRAD78_Poilus_t-0044_01
0044;enveloppe;FRAD78_Poilus_t-0044_02
0044;testament;FRAD78_Poilus_t-0044_03
0044;testament;FRAD78_Poilus_t-0044_04
0044;testament;FRAD78_Poilus_t-0044_05
0044;testament;FRAD78_Poilus_t-0044_06
0045;enveloppe;FRAD78_Poilus_t-0045_01
0045;enveloppe;FRAD78_Poilus_t-0045_02
0045;testament;FRAD78_Poilus_t-0045_03
0045;testament;FRAD78_Poilus_t-0045_04
